在么 在新年好 新年好，打扰了啊  您客气  看您说的 昨天晚上，家里孩子玩电脑，关机以后，电脑就自动更新， 但是开机以后就一直出现更新为0％
我的电脑之前充电是接触不良，现在彻底充不了电了，是怎么回事？
您好，咱电脑的主机编号是否是PF0M62KD，型号是否是拯救者呢(^_^)？ 我电脑这次系统更新后，玩地下城就卡的不行
玩联盟（网络游戏）时会发生滋滋滋卡死机情况
office2016激活问题
联想flex-214 您好，有什么可以帮您？ 是什么网卡
"独显2g,集显是多大"
电脑老 死机
你好，如果在保修期内，笔记本电脑屏幕坏了，属于保修范围吗？
我刚买的笔记本开机慢的不行 请问您电脑是什么型号的？ http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTju33pKrwJcfxqwnlvkMloT8/3087727_65100_1485943280.jpg 这个 开机慢的不行 开机之后还卡 刚买的怎么这样
请问您的电脑是什么型号的？ Y410P 您的电脑现在使用的是什么操作系统呢？ win10 麻烦您描述一下电脑当前的问题现象好吗？ 我想问下，我在微信里面查不到，我维修的信息
新年好    亲 新年快乐的哦   有什么可以帮您的呢 请问一下有没有电源管理软件OKO的下载地址呢
删360文件需要权限
联想拯救者笔记本触摸板好像坏了 Lenovo拯救者-14是您的电脑么 硬件不显示了
联想Y50-70用电脑管家检测显示显卡性能低，是怎么回事 请选择桌面上的计算机图标，右击鼠标，选择管理，选择设备管理器进去之后拍照给我看下 现在电脑不在身边 是NVIDIA的还是amd 的呢 英伟达860 我给您一些操作步骤您试试看 NviDIA设置高性能方法：http://t.cn/R7yEELn 还有 然后NVIDIA控制面板全局设置里面的有一个垂直同步，您关闭了这个 点击应用 然后在看看 能否将860显卡进行硬件升级到960或更高？？？
换电源要多少钱
是要咨询您绑定的 Ideapad700S-14ISK的机器 吗 您的电脑现在使用的是什么操作系统呢？ 你好我想问一下就是我的笔记本为什么开机之后看不见屏幕但指示灯亮着然后我发现不是没开机而是特别暗用手电筒照着才能看见，然后在设置里面的屏幕亮度都已经调到最高了，也还是看不见。 您按一下fn加f9或者是直接按f9看显示吗 怎么解决呢。我看有些人说是灯坏了或者老化了。可我才买的机子怎么可能老化呢 不行
系统许可证快过期了
那个自己重做了盗系统怎么能够重新激活
我的电脑开机有鼠标光点，但启动不起来，为什么 麻烦您查询一下所咨询电脑的主机编号，笔记本的话一般在电脑背面生产日期下方有个S/N号，大多是英文字母加数字构成的，麻烦您了（*∩_∩*）台式机的话一般在主机侧面贴纸上，一体机的话在电脑背后贴纸上，叫出厂编号。 http://weixin.lenovo.com.cn/img/files/new_user_files/voice/17_02_01/oLHCTjkCsqrHYV12wZ2GorWIDBG4/3087312_1086973_1485937626.jpg 开机输入密码后就显示鼠标 对么 没有输入密码这环节，就只有鼠标，屏幕是黑的
